"cluster","query","wordstat_query","region","broad_frequency","phrase_frequency","exact_frequency","seasonality","intent","business_relevance","existing_url","checked_at","notes"
"soil_compaction","уплотнение грунта","уплотнение грунта","Москва и область","3271","31","31","not_checked","commercial","high","","2026-08-11","selected: самостоятельная услуга и релевантный парк катков"
"stump_removal","корчевание пней","корчевание пней","Москва и область","1675","76","64","not_checked","commercial","high","","2026-08-11","selected: коммерческая выдача и связка с расчисткой"
"backfill_soil","обратная засыпка грунта","обратная засыпка грунта","Москва и область","499","0","35","not_checked","commercial","high","","2026-08-11","selected: проектный спрос; 35 по ядру обратная засыпка"
"asphalt_demolition","демонтаж асфальта","демонтаж асфальта","Москва и область","219","18","18","not_checked","commercial","high","","2026-08-11","selected: отдельная демонтажная услуга"
"road_slab_installation","укладка дорожных плит","укладка дорожных плит","Москва и область","526","51","49","not_checked","commercial","high","","2026-08-11","selected: выраженный коммерческий интент"
"steel_demolition","демонтаж металлоконструкций","демонтаж металлоконструкций","Москва и область","384","58","57","not_checked","commercial","high","","2026-08-11","selected: отдельный B2B-кластер демонтажа"
"site_grading","планировка участка","планировка участка","Москва и область","7338","","","not_checked","commercial","medium","see notes","2026-08-11","rejected: сильное пересечение с существующим выравниванием участка"
"topsoil_removal","снятие плодородного слоя","снятие плодородного слоя","Москва и область","150","2","2","not_checked","commercial","medium","","2026-08-11","reserve: низкая точная частотность"
"temporary_road","устройство временной дороги","устройство временной дороги","Москва и область","171","1","","not_checked","commercial","medium","","2026-08-11","reserve: низкая фразовая частотность"
"road_slab_demolition","демонтаж дорожных плит","демонтаж дорожных плит","Москва и область","65","","","not_checked","commercial","medium","","2026-08-11","reserve: узкий спрос; возможна секция в демонтаже покрытий"
"road_slab_assembly","монтаж дорожных плит","монтаж дорожных плит","Москва и область","134","","","not_checked","commercial","medium","see notes","2026-08-11","rejected: объединен с более частотной укладкой плит"
"pond_excavation","копка пруда экскаватором","копка пруда экскаватором","Москва и область","25","","","not_checked","commercial","medium","see notes","2026-08-11","rejected: недостаточный подтвержденный спрос"
"construction_waste_loading","погрузка строительного мусора","погрузка строительного мусора","Москва и область","316","2","","not_checked","commercial","medium","see notes","2026-08-11","rejected: пересечение со страницей вывоза строительного мусора"
"concrete_break_removal","вывоз бетонного боя","вывоз бетонного боя","Москва и область","102","15","14","not_checked","commercial","medium","","2026-08-11","reserve: пересечение с вывозом мусора; перспективная следующая тема"
"garage_demolition","демонтаж гаража","демонтаж гаража","Москва и область","156","9","","not_checked","commercial","medium","","2026-08-11","reserve: пересечение с существующим кластером демонтажа строений"
"trench_backfill","обратная засыпка траншей","обратная засыпка траншей","Москва и область","239","0","","not_checked","commercial","medium","see notes","2026-08-11","merged: включено в страницу обратной засыпки грунта"
"pit_backfill","обратная засыпка котлована","обратная засыпка котлована","Москва и область","","","","not_checked","commercial","medium","see notes","2026-08-11","merged: включено в страницу обратной засыпки грунта"
"foundation_sinus_backfill","засыпка пазух фундамента","засыпка пазух фундамента","Москва и область","","","","not_checked","commercial","medium","see notes","2026-08-11","merged: включено в страницу обратной засыпки грунта"
"vibratory_plate_compaction","трамбовка грунта виброплитой","трамбовка грунта виброплитой","Москва и область","218","","","not_checked","commercial","medium","see notes","2026-08-11","merged: подкластер уплотнения грунта"
"roller_compaction","уплотнение грунта катком","уплотнение грунта катком","Москва и область","282","","","not_checked","commercial","medium","see notes","2026-08-11","merged: подкластер уплотнения грунта"
"stump_excavator","корчевание пней экскаватором","корчевание пней экскаватором","Москва и область","","","","not_checked","commercial","medium","see notes","2026-08-11","merged: подкластер корчевания"
"stump_site","корчевание пней на участке","корчевание пней на участке","Москва и область","362","","","not_checked","commercial","medium","see notes","2026-08-11","merged: подкластер корчевания"
"asphalt_removal_m2","демонтаж асфальта цена за м2","демонтаж асфальта цена за м2","Москва и область","16","","","not_checked","commercial","medium","see notes","2026-08-11","merged: ценовой подкластер демонтажа асфальта"
"asphalt_break_loading","погрузка асфальтового лома","погрузка асфальтового лома","Москва и область","","","","not_checked","commercial","medium","see notes","2026-08-11","merged: этап услуги демонтажа асфальта"
"road_slab_turnkey","укладка дорожных плит под ключ","укладка дорожных плит под ключ","Москва и область","20","","","not_checked","commercial","medium","see notes","2026-08-11","merged: подкластер монтажа плит"
"road_slab_delivery","дорожные плиты с доставкой и укладкой","дорожные плиты с доставкой и укладкой","Москва и область","55","","","not_checked","commercial","medium","see notes","2026-08-11","merged: логистический подкластер укладки плит"
"steel_demolition_ton","демонтаж металлоконструкций цена за тонну","демонтаж металлоконструкций цена за тонну","Москва и область","26","","","not_checked","commercial","medium","see notes","2026-08-11","merged: ценовой подкластер демонтажа металлоконструкций"
"steel_demolition_moscow","демонтаж металлоконструкций москва","демонтаж металлоконструкций москва","Москва и область","25","","","not_checked","commercial","medium","see notes","2026-08-11","merged: географический подкластер"
"hangar_demolition","демонтаж ангара","демонтаж ангара","Москва и область","","","","not_checked","commercial","medium","","2026-08-11","reserve: связанный кластер для будущей проверки"
"access_road","устройство подъездной дороги","устройство подъездной дороги","Москва и область","","","","not_checked","commercial","medium","","2026-08-11","reserve: проверить отдельно без пересечения с плитами"
"land_clearing_forest","расчистка участка от деревьев","расчистка участка от деревьев","Москва и область","","","","not_checked","commercial","medium","see notes","2026-08-11","rejected: пересекается с существующей расчисткой участка"
"debris_clearing","разбор завалов спецтехникой","разбор завалов спецтехникой","Москва и область","0","","","not_checked","commercial","medium","see notes","2026-08-11","rejected: нет подтвержденного спроса"
"territory_grading","планировка территории спецтехникой","планировка территории спецтехникой","Москва и область","0","","","not_checked","commercial","medium","see notes","2026-08-11","rejected: нет подтвержденного спроса"
"soil_replacement","замена грунта на участке","замена грунта на участке","Москва и область","","","","not_checked","commercial","medium","","2026-08-11","reserve: нужна отдельная проверка спроса и маржинальности"
